Name: Споменик на Јуриј Гагарин, Type: monument, Latitude: 41.9949279, Longitude: 21.4108745, Region: Skopje Region
Name: Никола Карев, Type: monument, Latitude: 41.9930188, Longitude: 21.4332009, Region: Skopje Region
Name: Вера Јоциќ, Type: monument, Latitude: 42.0016804, Longitude: 21.4283664, Region: Skopje Region
Name: Марко Мрњавчевиќ, Type: monument, Latitude: 41.3455416, Longitude: 21.5532375, Region: Vardar Region
Name: Круме Кепески, Type: monument, Latitude: 41.3450704, Longitude: 21.5505634, Region: Vardar Region
Name: Блаже Конески, Type: monument, Latitude: 41.3451329, Longitude: 21.5506707, Region: Vardar Region
Name: Марко Цепенков, Type: monument, Latitude: 41.3451792, Longitude: 21.5505581, Region: Vardar Region
Name: Китино Кале, Type: castle, Latitude: 41.5130946, Longitude: 20.9663459, Region: Polog Region
Name: Шуплив Камен, Type: boundary_stone, Latitude: 42.3110963, Longitude: 22.3602199, Region: Polog Region
Name: 1a, Type: boundary_stone, Latitude: 41.3413087, Longitude: 22.9282524, Region: Eastern Region
Name: Ботун, Type: memorial, Latitude: 41.2788101, Longitude: 20.7836677, Region: Vardar Region
Name: Споменик на слободата, Type: monument, Latitude: 41.158263, Longitude: 22.5006786, Region: Eastern Region
Name: Борецот, Type: monument, Latitude: 41.3738524, Longitude: 21.5025867, Region: Vardar Region
Name: Сергеј Есенин, Type: monument, Latitude: 41.1736526, Longitude: 20.6783749, Region: Southwestern Region
Name: Емин-бегова кула, Type: monument, Latitude: 42.0769461, Longitude: 22.1823517, Region: Skopje Region
Name: Крстева кула, Type: monument, Latitude: 42.0768838, Longitude: 22.1826261, Region: Skopje Region
Name: Споменик „Солунски фронт“ од I светска војна, Type: monument, Latitude: 41.1949939, Longitude: 22.6878453, Region: Eastern Region
Name: Хаџикостова кула, Type: monument, Latitude: 42.0768628, Longitude: 22.1822635, Region: Skopje Region
Name: Саат-кула, Type: monument, Latitude: 42.0792053, Longitude: 22.1818109, Region: Skopje Region
Name: Златковичева кула, Type: monument, Latitude: 42.0788289, Longitude: 22.1809805, Region: Skopje Region
Name: Симиќева кула, Type: monument, Latitude: 42.0786957, Longitude: 22.1794714, Region: Skopje Region
Name: Струмица-Кристал-64, Type: monument, Latitude: 41.4409796, Longitude: 22.6796979, Region: Eastern Region
Name: Григор Прличев, Type: tomb, Latitude: 41.1142035, Longitude: 20.7958058, Region: Southwestern Region
Name: Тумба / Τούμπα, Type: boundary_stone, Latitude: 41.3384543, Longitude: 22.9275511, Region: Eastern Region
Name: Св. Троица, Type: yes, Latitude: 41.006774, Longitude: 21.3415263, Region: Southwestern Region
Name: Теракота, Type: memorial, Latitude: 41.8845661, Longitude: 22.5039935, Region: Eastern Region
Name: Никола Кукунешоски - Дунѓерски, Type: memorial, Latitude: 41.1745272, Longitude: 20.6778868, Region: Southwestern Region
Name: Крсте Јовановски, Type: memorial, Latitude: 41.1747311, Longitude: 20.6779485, Region: Southwestern Region
Name: Димче Кошаркоски, Type: memorial, Latitude: 41.1749451, Longitude: 20.6779833, Region: Southwestern Region
Name: Боро Шаин, Type: memorial, Latitude: 41.1756537, Longitude: 20.6782194, Region: Southwestern Region
Name: Јово Стефановски - Риле, Type: memorial, Latitude: 41.1755185, Longitude: 20.6781791, Region: Southwestern Region
Name: Разме Малески, Type: memorial, Latitude: 41.1753893, Longitude: 20.6781416, Region: Southwestern Region
Name: Петре Гончески - Гиле, Type: memorial, Latitude: 41.1752843, Longitude: 20.6781067, Region: Southwestern Region
Name: Св. Благовештение, Type: wayside_shrine, Latitude: 41.05924, Longitude: 20.8033957, Region: Southwestern Region
Name: Гоце Делчев, Type: memorial, Latitude: 41.9963577, Longitude: 21.4323793, Region: Skopje Region
Name: Konjuh, Type: archaeological_site, Latitude: 42.1003011, Longitude: 21.9665342, Region: Skopje Region
Name: Rotonda Konjuh, Type: ruins, Latitude: 42.0949995, Longitude: 21.9658672, Region: Skopje Region
Name: Bosko Chapel, Type: wayside_shrine, Latitude: 42.0995746, Longitude: 21.9606298, Region: Skopje Region
Name: Bargala, Type: archaeological_site, Latitude: 41.7995125, Longitude: 22.289829, Region: Polog Region
Name: Roman Bathhouse, Type: archaeological_site, Latitude: 41.3825161, Longitude: 22.7542141, Region: Eastern Region
Name: Doma, Type: monument, Latitude: 42.0169571, Longitude: 21.4434502, Region: Skopje Region
Name: Спомен плоча на Мајка Тереза, Type: memorial, Latitude: 41.9952759, Longitude: 21.4319995, Region: Skopje Region
Name: Ард ден Долард, Type: memorial, Latitude: 41.1057278, Longitude: 20.8078335, Region: Southwestern Region
Name: Резиденцијата Главинов, Type: castle, Latitude: 41.958616, Longitude: 21.4422187, Region: Skopje Region
Name: Методија Андонов - Ченто, Type: memorial, Latitude: 41.9957136, Longitude: 21.4306041, Region: Skopje Region
Name: terminal mitnitsa tetovo, Type: monument, Latitude: 41.9974433, Longitude: 20.9681527, Region: Polog Region
Name: patarina-160, Type: monument, Latitude: 41.9885405, Longitude: 21.2926787, Region: Skopje Region
Name: Kanda - Geoglif Sv. Nikole, Type: monument, Latitude: 41.8289715, Longitude: 21.9562049, Region: Skopje Region
Name: Споменик на Малешевскиот (Малешки) народноослободителен одред, Type: memorial, Latitude: 41.7213441, Longitude: 22.6569551, Region: Eastern Region
Name: Кале, Type: archaeological_site, Latitude: 41.0043725, Longitude: 20.9282003, Region: Southwestern Region
Name: Калата, Type: archaeological_site, Latitude: 41.9856377, Longitude: 22.5905605, Region: Eastern Region
Name: Бањичко Кале, Type: archaeological_site, Latitude: 41.6952366, Longitude: 21.628172, Region: Polog Region
Name: Mirče Acev Bataljon, Type: monument, Latitude: 41.3747079, Longitude: 20.7630424, Region: Vardar Region
Name: 2 musicians and one dancing man, Type: memorial, Latitude: 41.9943288, Longitude: 21.4307922, Region: Skopje Region
Name: Коста Абраш, Type: memorial, Latitude: 41.1120953, Longitude: 20.795694, Region: Southwestern Region
Name: Henry Dunant, Type: memorial, Latitude: 41.1124032, Longitude: 20.8071328, Region: Southwestern Region
Name: Љубе Грујоски, Type: monument, Latitude: 41.2754595, Longitude: 21.3684104, Region: Vardar Region
Name: Споменик на Дојрана, Type: monument, Latitude: 41.1857198, Longitude: 22.7227512, Region: Eastern Region
Name: Чешма Света Петка, Type: monument, Latitude: 41.1825947, Longitude: 22.7233826, Region: Eastern Region
Name: AXX110 / RA-42390, Type: memorial, Latitude: 41.1850048, Longitude: 20.7762352, Region: Southwestern Region
Name: PMK301 / PH-KXL, Type: memorial, Latitude: 41.9779001, Longitude: 21.6157628, Region: Skopje Region
Name: Дабнички масакр, Type: memorial, Latitude: 41.3724643, Longitude: 21.5605466, Region: Vardar Region
Name: Толе Паша, Type: monument, Latitude: 41.2064953, Longitude: 21.6536957, Region: Vardar Region
Name: Ацо Ангеловски, Type: memorial, Latitude: 42.022416, Longitude: 21.5476216, Region: Skopje Region
Name: Кирил Петрушевски, Type: memorial, Latitude: 42.0225556, Longitude: 21.5480468, Region: Skopje Region
Name: Ерол Готак, Type: memorial, Latitude: 42.0227044, Longitude: 21.5486015, Region: Skopje Region
Name: Нане Наумоски, Type: memorial, Latitude: 41.9764851, Longitude: 21.1660504, Region: Skopje Region
Name: Сашо Китаноски, Type: memorial, Latitude: 41.977847, Longitude: 21.1773385, Region: Skopje Region
Name: Бранко Секулоски, Type: memorial, Latitude: 41.97753, Longitude: 21.1679024, Region: Skopje Region
Name: Горан Миноски, Type: memorial, Latitude: 41.9781971, Longitude: 21.1745241, Region: Skopje Region
Name: Марко Деспотоски, Type: memorial, Latitude: 41.977893, Longitude: 21.1713626, Region: Skopje Region
Name: Ердован Шабаноски, Type: memorial, Latitude: 41.9767167, Longitude: 21.1675604, Region: Skopje Region
Name: Љубе Грујоски, Type: memorial, Latitude: 41.9772958, Longitude: 21.1694976, Region: Skopje Region
Name: Дарко Велјаноски, Type: memorial, Latitude: 41.9770406, Longitude: 21.1717935, Region: Skopje Region
Name: Веби Рушитоски, Type: memorial, Latitude: 41.9767893, Longitude: 21.1747438, Region: Skopje Region
Name: Пеце Секулоски, Type: memorial, Latitude: 41.977042, Longitude: 21.1770879, Region: Skopje Region
Name: Карпалак, Type: memorial, Latitude: 41.3575814, Longitude: 21.6256855, Region: Vardar Region
Name: Масакр во Ваташа, Type: memorial, Latitude: 41.4014262, Longitude: 22.0284286, Region: Vardar Region
Name: Пере Тошев, Type: tomb, Latitude: 41.3428704, Longitude: 21.5583071, Region: Vardar Region
Name: Duko Tasev, Type: memorial, Latitude: 41.4436592, Longitude: 20.8721449, Region: Vardar Region
Name: Гоце Делчев, Type: monument, Latitude: 41.4831122, Longitude: 20.9229426, Region: Vardar Region
Name: Христо Узунов, Type: monument, Latitude: 41.483575, Longitude: 20.9222623, Region: Vardar Region
